index,car description,price (euro),age (year),fuel type,transmission,bodystyle,car model,mileage (km)
0,"Audi A3 1.8 TFSI 160pk S tronic S-Line (Xenon, NL)",13650.0,9,Petrol,Automatic,Cabriolet,A3,115174
1,Audi A7 Sportback 55 TFSI 340pk Quattro Pro Line Plus / S-Line Exterieur / Luchtvering / Adaptive Cruise control / B&O soundsystem HD Matrix LED-koplampen met Audi laserlicht,91800.0,1,Petrol,Automatic,Hatchback,A7,8527
2,Audi A3 1.6 TDI 110 PK S-Line | Xenon | Bang & Olufsen | S-Line In & Exterieur | Drive Select |,26150.0,3,Diesel,Manual,Sedan,A3,82345
3,Audi A8 Lang 3.0 TDI 258pk Tiptronic Quattro Pro Line Plus + VOL Opties!,50900.0,4,Diesel,Automatic,Sedan,A8,144772
4,Audi TT 1.8 TFSI Coupe Pro Line -MMI+/Xenon/Stoelverw-,37700.0,2,Petrol,Manual,Coupe,TT,16652
5,Audi A1 1.6 TDI Ambition Pro Line Business *LEDER+NAVI+PDC+AIRCO+CRUISE*,11500.0,9,Diesel,Manual,Hatchback,A1,191454
6,Audi A6 New 50 TDI quattro 286pk Tiptronic Sport,106300.0,1,Diesel,Automatic,Sedan,A6,0
7,Audi A3 Sportback Lease edition 30 TFSI,38000.0,1,Petrol,Manual,Hatchback,A3,0
8,Audi A1 Sportback Admired 1.2 TFSI,16450.0,5,Petrol,Manual,Hatchback,A1,56809
9,"Audi Q2 1.0 TFSI 116PK Automaat Design / Navi  / Parkeerhulp Achter / Clima / Lederen Stuur / Licht Regen Sensor / 17"" Velgen",32500.0,1,Petrol,Automatic,SUV,Q2,22338
10,Audi A3 (J) LIMOUSINE 1.6 TDI Pro Line Plus [ xenon navi trekhaak ],16750.0,4,Diesel,Manual,Sedan,A3,138898
11,Audi Q3 2.0 TDI 140PK PRO LINE DEALERONDERHOUDEN,16700.0,7,Diesel,Manual,SUV,Q3,145116
12,Audi A5 Sportback 1.8 Tfsi Adrenalin Sport,39850.0,2,Petrol,Automatic,Hatchback,A5,26460
13,"Audi Q7 3.0 TDI quattro Pro Line S + 7p S line, Luchtvering, Trekhaak, Panodak",101800.0,1,Diesel,Automatic,SUV,Q7,1320
14,Audi A5 Sportback 1.8 TFSI 170PK PRO LINE SPORT NAVI/PDC/XENON,19350.0,7,Petrol,Manual,Hatchback,A5,135694
15,Audi 100 CD 2.0 E Automaat,8350.0,29,Petrol,Automatic,Sedan,A100,134666
16,"Audi A4 2.0 TDIE Pro Line Business · Navigatie · Cruise Control · 18""LM",16550.0,6,Diesel,Manual,Sedan,A4,107683
17,Audi Q3 2.0 TDI quattro S-tronic S-Line // LEDER AUTOMAAT NAVI CRUISE CLIMA PDC,26200.0,5,Diesel,Automatic,SUV,Q3,117213
18,Audi A3 1.9 TDI ATTRACTION BUSINESS EDITION Climate control | Trekhaak | PDC,4700.0,11,Diesel,Manual,Hatchback,A3,288442
19,Audi S5 3.0 TFSI Quattro Exclusive Sportback | 354PK | Bang & Olufsen | Adaptive cruise control | Virtuel cockpit | Carbon inleg,73400.0,2,Petrol,Automatic,Sedan,S5,17916
20,Audi A3 Sportback 1.0 TFSI 116pk Sport,29150.0,1,Petrol,Manual,Hatchback,A3,11941
21,"Audi A4 1.4 TFSI 150PK S-LINE BLACK EDITION | 19"" Audi sport velgen, soundsysteem, Massagestoelen, LED verlichting, PDC v+a etc.",44950.0,1,Petrol,Automatic,Sedan,A4,6306
22,Audi A6 Avant 40 TDI Launch edition Sport,76350.0,1,Diesel,Automatic,Station wagon,A6,0
23,"Audi A6 Avant 2.0 TDI 190pk Automaat ULTRA S LINE EDITION  / Panoramadak / Navi / LMV 19""",50300.0,2,Diesel,Automatic,Station wagon,A6,29315
24,Audi A1 Sportback 1.0 TFSI 5-bak Advance Sport,29100.0,1,Petrol,Manual,Hatchback,A1,0
25,Audi Q5 2.0 TDI Quattro Exclusive,38850.0,4,Diesel,Automatic,SUV,Q5,131621
26,Audi A1 Sportback 95 pk Advance,24650.0,1,Petrol,Manual,Hatchback,A1,500
27,"Audi A6 Sedan 3.0 TDI 204pk PRO LINE S [S-Line] Autom Leer, Navi, Xenon, Camera, Full",30350.0,6,Diesel,Automatic,Sedan,A6,147071
28,Audi A3 Limousine 1.4 TFSI AMBITION PRO LINE 140 PK,21800.0,5,Petrol,Manual,Sedan,A3,75984
29,Audi A3 Sportback 1.0 TFSI 116pk S-Line Edition + LED-koplampen + Navigatie,29250.0,2,Petrol,Manual,Hatchback,A3,30124
30,Audi A3 Sportback 1.4 TFSI CoD Pro Line S S-tronic,29250.0,4,Petrol,Automatic,Hatchback,A3,24589
31,Audi A1 Sportback 1.2TFSi Admired S-Line,17200.0,4,Petrol,Manual,Hatchback,A1,58364
32,Audi A1 Sportback 1.2 TFSI AMBITION PRO LINE BUSINESS NAVI Half lederen  Airco ecc  PDC,15700.0,5,Petrol,Manual,Hatchback,A1,49391
33,Audi A1 Sportback 30 TFSI S Line edition one 116 pk (vsb 21599),39100.0,1,Petrol,Manual,Hatchback,A1,0
34,Audi A3 Limousine 1.6 TDI 110 PK LEASE EDITION SPORT BTW AUTO - NIEUW 2017 MODEL - LED KOPLAMPEN - MMI NAVIGATIE EUROPA,27050.0,2,Diesel,Manual,Sedan,A3,44918
35,Audi A3 SPORTBACK 1.4 TFSI AMBITION PRO LINE S NAVIGATIE XENON LEDER 17 INCH,13600.0,8,Petrol,Manual,Hatchback,A3,138272
