index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,predicted_price
7122,Audi A3 1.4 TFSI 140pk Sportback Ambiente Pro Line Plus,,6,Petrol,Manual,Hatchback,A3,126638,14923.566666666668
7123,Audi A3 Sportback 2.0 TDI 150PK Sport 150PK NAVI CLIMA PDC 7.348KM | EINDEJAARSD€ALS!,,2,Diesel,Manual,Hatchback,A3,7348,28981.97931938431
7124,Audi A1 Sportback 1.2 TFSI 86PK ADMIRED Navi / Cruise Control / LMV 17'',,6,Petrol,Manual,Hatchback,A1,78036,16161.583333333334
7125,Audi Q3 2.0 TFSI 180PK quattro Sport Pro Line / Keyless Entry / Elek. wegklapbare trekhaak / Leder / Bi-Xenon / Elektr. achterklep / PDC voor en achter / Stoelverwarming / Privacy glass / MMI navigatie,,2,Petrol,Automatic,SUV,Q3,27000,40404.01666666667
7126,Audi A5 Sportback 2.0 TFSI 190 pk MHEV S-tronic S-line Edition * 18 inch * LED * S-Line * VSB7087,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7127,Audi A3 Sportback 1.5 TFSI 150pk S-tronic CoD Sport + MMI Navigatie,,1,Petrol,Automatic,Hatchback,A3,11178,34624.11666666667
7128,Audi A4 CABRIOLET 3.0 V6 EXCLUSIVE AUT. XENON LEDER NAVI CLIMA CRUISE LICHTMETAAL,,17,Petrol,Automatic,Cabriolet,A4,231235,4457.9
7129,"Audi A4 Avant 2.0 TDI Quattro 190PK S-Tronic Aut. Climate, Led, Cruise-control, Trekhaak, Parkeersensoren",,3,Diesel,Automatic,Station wagon,A4,11400,43234.75
7130,Audi Cabriolet A5 2.0 TFSI Aut Navi Leder Led-Xenon 2009.,,10,Petrol,Automatic,Cabriolet, A5,211838,16498.933333333334
7131,Audi A1 1.2 TFSI 86pk Connect,,6,Petrol,Manual,Hatchback,A1,62308,15057.3
7132,Audi S5 Coupé 3.0 TFSI 333PK tiptronic quattro | Navigatie MMI+ | Elektrische stoelverstelling | B&O sound | Keyless Entry | Adaptive Cruise Control | Lane Assist | Verlengde fabrieksgarantie t/m 25-1-2020 of 100.000 km | Lederen bekleding | Stoelverwarming | 20 inch lichtmetalen velgen | Climatronic,,4,Petrol,Automatic,Coupe,S5,63625,43292.083333333336
7133,"Audi A5 Sportback 2.7 TDI PRO LINE Navigatie Leer Clima Xenon 19""LM 190Pk! Zondag a.s. open!",,9,Diesel,Automatic,Hatchback,A5,220632,15096.833333333334
7134,Audi A6 2.0 TDI 177pk multitronic,,6,Diesel,Automatic,Station wagon,A6,204240,22906.066666666666
7135,Audi A6 Avant 2.0 TDI 190PK Sport | 2x S-line | Navigatie | led verlichting | BTW-auto |,,2,Diesel,Automatic,Station wagon,A6,46543,54404.25
