index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,engine_displacement,horsepower,mileage_per_year,power_per_liter,predicted_price
7122,Audi A3 1.4 TFSI 140pk Sportback Ambiente Pro Line Plus,,6,Petrol,Manual,Hatchback,A3,126638,1.4,140.0,19482.76923076923,100.0,17518.897893589492
7123,Audi A3 Sportback 2.0 TDI 150PK Sport 150PK NAVI CLIMA PDC 7.348KM | EINDEJAARSD€ALS!,,2,Diesel,Manual,Hatchback,A3,7348,2.0,150.0,2939.2,75.0,31744.19359954465
7124,Audi A1 Sportback 1.2 TFSI 86PK ADMIRED Navi / Cruise Control / LMV 17'',,6,Petrol,Manual,Hatchback,A1,78036,1.2,86.0,12005.538461538461,71.66666666666667,14454.46838964998
7125,Audi Q3 2.0 TFSI 180PK quattro Sport Pro Line / Keyless Entry / Elek. wegklapbare trekhaak / Leder / Bi-Xenon / Elektr. achterklep / PDC voor en achter / Stoelverwarming / Privacy glass / MMI navigatie,,2,Petrol,Automatic,SUV,Q3,27000,2.0,180.0,10800.0,90.0,43089.39076090938
7126,Audi A5 Sportback 2.0 TFSI 190 pk MHEV S-tronic S-line Edition * 18 inch * LED * S-Line * VSB7087,,1,Petrol,Automatic,Hatchback,A5,0,2.0,190.0,0.0,95.0,59839.935428191086
7127,Audi A3 Sportback 1.5 TFSI 150pk S-tronic CoD Sport + MMI Navigatie,,1,Petrol,Automatic,Hatchback,A3,11178,1.5,150.0,7452.0,100.0,37206.33532758159
7128,Audi A4 CABRIOLET 3.0 V6 EXCLUSIVE AUT. XENON LEDER NAVI CLIMA CRUISE LICHTMETAAL,,17,Petrol,Automatic,Cabriolet,A4,231235,,,13213.42857142857,,4851.617851251975
7129,"Audi A4 Avant 2.0 TDI Quattro 190PK S-Tronic Aut. Climate, Led, Cruise-control, Trekhaak, Parkeersensoren",,3,Diesel,Automatic,Station wagon,A4,11400,2.0,190.0,3257.1428571428573,95.0,37424.33817882908
7130,Audi Cabriolet A5 2.0 TFSI Aut Navi Leder Led-Xenon 2009.,,10,Petrol,Automatic,Cabriolet, A5,211838,2.0,,20175.04761904762,,14074.841131633635
7131,Audi A1 1.2 TFSI 86pk Connect,,6,Petrol,Manual,Hatchback,A1,62308,1.2,86.0,9585.846153846154,71.66666666666667,15027.767383712287
7132,Audi S5 Coupé 3.0 TFSI 333PK tiptronic quattro | Navigatie MMI+ | Elektrische stoelverstelling | B&O sound | Keyless Entry | Adaptive Cruise Control | Lane Assist | Verlengde fabrieksgarantie t/m 25-1-2020 of 100.000 km | Lederen bekleding | Stoelverwarming | 20 inch lichtmetalen velgen | Climatronic,,4,Petrol,Automatic,Coupe,S5,63625,3.0,333.0,14138.888888888889,111.0,56917.10848475926
7133,"Audi A5 Sportback 2.7 TDI PRO LINE Navigatie Leer Clima Xenon 19""LM 190Pk! Zondag a.s. open!",,9,Diesel,Automatic,Hatchback,A5,220632,2.7,190.0,23224.42105263158,70.37037037037037,14713.710774982663
7134,Audi A6 2.0 TDI 177pk multitronic,,6,Diesel,Automatic,Station wagon,A6,204240,2.0,177.0,31421.53846153846,88.5,18873.751124173286
7135,Audi A6 Avant 2.0 TDI 190PK Sport | 2x S-line | Navigatie | led verlichting | BTW-auto |,,2,Diesel,Automatic,Station wagon,A6,46543,2.0,190.0,18617.2,95.0,44695.898125175794
7136,Audi A3 LIMOUSINE 1.6TDI 110PK S-TRONIC PRO LINE S / NAVI / XENON / 18'',,3,Diesel,Automatic,Sedan,A3,75111,1.6,110.0,21460.285714285714,68.75,26957.880897443712
7137,Audi A3 Cabriolet 1.8 TFSI 180 pk Ambition Pro Line S Automaat 2xS-line/Navi/Camara/Leder/Ecc/Pdc/18inch,,5,Petrol,Automatic,Cabriolet,A3,37950,1.8,180.0,6900.0,100.0,31422.45112376232
7138,Audi A3 Sportback 1.6 TDI Attraction Navigatie Airco/ecc,,7,Diesel,Manual,Hatchback,A3,131359,1.6,,17514.533333333333,,12133.481648938143
7139,Audi A3 Sportback 1.0 TFSI S Line Edition 85 kW / 116 pk,,1,Petrol,Manual,Hatchback,A3,0,1.0,116.0,0.0,116.0,37137.17277714526
7140,Audi Q5 2.0 TDI 190PK S-TRONIC (VMO),,2,Diesel,Automatic,SUV,Q5,8789,2.0,190.0,3515.6,95.0,59113.17581157158
7141,"Audi A3 Sportback 1.2 TFSI S-Line, Navigatie, Trekhaak, Xenon",,9,Petrol,Manual,Hatchback,A3,112281,1.2,,11819.052631578947,,10117.834610561118
7142,Audi A1 Sportback 1.0 TFSI Design Pro Line - 95 pk   Xenon   Navi,,2,Petrol,Manual,Hatchback,A1,13400,1.0,95.0,5360.0,95.0,20319.698811567985
7143,Audi A3 Sportback 1.6 TDI Attraction Business Edition INCL. 6 MND BOVAG,,7,Diesel,Manual,Hatchback,A3,136439,1.6,,18191.866666666665,,12017.045734647962
7144,Audi A5 Sportback 2.0 TDI Aut. 100KW Business,,5,Diesel,Automatic,Hatchback,A5,107327,2.0,,19514.0,,24887.239997965466
7145,Audi A5 Sportback 2.0 TFSI 252PK tiptronic quattro Sport | S-Line interieur/exterieur | Navigatie MMI+ | LED | Audi Virtual Cockpit | Keyless Entry | 20 inch lichtmetalen velgen | Verlengde fabrieksgarantie t/m 12-2-2023 of 100.000 km | Elektrische achterklep | Parkeersensoren | Lane Assist | Stoelverwarming |,,1,Petrol,Automatic,Hatchback,A5,10593,2.0,252.0,7062.0,126.0,60875.37161932928
7146,Audi A4 1.6 Advance,,22,Petrol,Manual,Station wagon,A4,340000,,,15111.111111111111,,2852.03322712597
7147,Audi A6 Avant 2.0 tfsi s-line 250pk autlNav-MMi+,,1,Petrol,Automatic,Station wagon,A6,8560,2.0,250.0,5706.666666666667,125.0,67016.20984551363
7148,Audi A3 Sportback 2.0 TDI Attraction Pro Line Business,,11,Diesel,Automatic,Hatchback,A3,296113,2.0,,25748.956521739132,,6542.687484430955
7149,Audi A3 1.0 TFSI 116pk Lease Edition,,1,Petrol,Manual,Sedan,A3,25450,1.0,116.0,16966.666666666668,116.0,31453.966784337237
7150,Audi A3 SPORTBACK 1.6 TDI 81KW PROLINE+,,5,Diesel,Manual,Hatchback,A3,212820,1.6,,38694.545454545456,,12459.71018660499
7151,Audi A1 Sportback 30TFSI/116pk Epic · Airconditioning volautomatisch · Virtual cockpit · Connected services,,1,Petrol,Manual,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,33529.092008226544
7152,Audi A5 Coupé 4.2 FSI S5 quattro Pro Line B&O * 20 INCH * VERLAAGT *,,12,Petrol,Manual,Coupe,A5,157831,,,12626.48,,11501.715193664546
7153,Audi Q5 3.0 TDI quattro Pro Line Aut./Xenon/Leder/Navi,,9,Diesel,Automatic,SUV,Q5,163248,3.0,,17184.0,,21410.348897055217
7154,Audi Q3 1.4 TFSI 150pk S-Tronic Sport S Line,,2,Petrol,Automatic,SUV,Q3,19500,1.4,150.0,7800.0,107.14285714285715,37900.60997684155
7155,Audi A5 Sportback 35 TFSI Sport S-line Edition 110 kW / 150 pk,,0,Petrol,Automatic,Hatchback,A5,0,35.0,150.0,0.0,4.285714285714286,55019.377967825356
7156,Audi RS6 5.0 TFSI QUATTRO VOLLEDIGE HISTORIE BEKEND! NP 178K,,10,Petrol,Automatic,Station wagon,RS6,153025,5.0,,14573.809523809523,,55707.11629941568
7157,Audi A4 Avant 4.2 FSI RS4 quattro | B&O | DAB |,,6,Petrol,Automatic,Station wagon,A4,64150,,,9869.23076923077,,30487.385465373216
