car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,engine_displacement,horsepower,mileage_per_year,power_per_liter,predicted_price
Audi A3 1.4 TFSI 140pk Sportback Ambiente Pro Line Plus,,6,Petrol,Manual,Hatchback,A3,126638,1.4,140.0,19482.76923076923,100.0,
Audi A3 Sportback 2.0 TDI 150PK Sport 150PK NAVI CLIMA PDC 7.348KM | EINDEJAARSD€ALS!,,2,Diesel,Manual,Hatchback,A3,7348,2.0,150.0,2939.2,75.0,
Audi A1 Sportback 1.2 TFSI 86PK ADMIRED Navi / Cruise Control / LMV 17'',,6,Petrol,Manual,Hatchback,A1,78036,1.2,86.0,12005.538461538461,71.66666666666667,
Audi Q3 2.0 TFSI 180PK quattro Sport Pro Line / Keyless Entry / Elek. wegklapbare trekhaak / Leder / Bi-Xenon / Elektr. achterklep / PDC voor en achter / Stoelverwarming / Privacy glass / MMI navigatie,,2,Petrol,Automatic,SUV,Q3,27000,2.0,180.0,10800.0,90.0,
Audi A5 Sportback 2.0 TFSI 190 pk MHEV S-tronic S-line Edition * 18 inch * LED * S-Line * VSB7087,,1,Petrol,Automatic,Hatchback,A5,0,2.0,190.0,0.0,95.0,
Audi A3 Sportback 1.5 TFSI 150pk S-tronic CoD Sport + MMI Navigatie,,1,Petrol,Automatic,Hatchback,A3,11178,1.5,150.0,7452.0,100.0,
Audi A4 CABRIOLET 3.0 V6 EXCLUSIVE AUT. XENON LEDER NAVI CLIMA CRUISE LICHTMETAAL,,17,Petrol,Automatic,Cabriolet,A4,231235,,,13213.42857142857,,
"Audi A4 Avant 2.0 TDI Quattro 190PK S-Tronic Aut. Climate, Led, Cruise-control, Trekhaak, Parkeersensoren",,3,Diesel,Automatic,Station wagon,A4,11400,2.0,190.0,3257.1428571428573,95.0,
Audi Cabriolet A5 2.0 TFSI Aut Navi Leder Led-Xenon 2009.,,10,Petrol,Automatic,Cabriolet, A5,211838,2.0,,20175.04761904762,,
Audi A1 1.2 TFSI 86pk Connect,,6,Petrol,Manual,Hatchback,A1,62308,1.2,86.0,9585.846153846154,71.66666666666667,
Audi S5 Coupé 3.0 TFSI 333PK tiptronic quattro | Navigatie MMI+ | Elektrische stoelverstelling | B&O sound | Keyless Entry | Adaptive Cruise Control | Lane Assist | Verlengde fabrieksgarantie t/m 25-1-2020 of 100.000 km | Lederen bekleding | Stoelverwarming | 20 inch lichtmetalen velgen | Climatronic,,4,Petrol,Automatic,Coupe,S5,63625,3.0,333.0,14138.888888888889,111.0,
