epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.4848,1.17929,3.73056,1.57498,0.00199,0.85008,0.12221,0.06506,1.05483,3.39117,1.56323,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048
2,63.2206,0.98139,3.36523,1.40666,0.22264,0.4235,0.26647,0.17689,1.018,3.10264,1.4722,0.00279175,0.000930584,0.00279175,0.000930584,0.00279175,0.000930584,0.00279175,0.000930584
3,90.7147,0.99168,3.081,1.38946,0.39298,0.44335,0.40983,0.29558,0.9786,2.73332,1.39677,0.00410777,0.00136926,0.00410777,0.00136926,0.00410777,0.00136926,0.00410777,0.00136926
4,116.724,0.96188,2.61233,1.34386,0.70109,0.55229,0.65669,0.46006,0.96142,2.33974,1.3563,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,143.134,0.92641,2.30788,1.30252,0.78643,0.68452,0.77357,0.57171,0.8636,1.97263,1.26764,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,169.094,0.89363,2.10963,1.27535,0.83635,0.73554,0.81328,0.60571,0.84983,1.78015,1.25186,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,194.577,0.86162,1.92133,1.24766,0.86052,0.78584,0.85817,0.64993,0.81981,1.6395,1.22866,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,220.551,0.8684,1.85661,1.25021,0.906,0.80069,0.89212,0.68688,0.79275,1.48742,1.20508,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,246.212,0.83357,1.72993,1.23334,0.92464,0.8186,0.91419,0.71182,0.75235,1.46332,1.16322,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,272.693,0.86455,1.68136,1.23719,0.92041,0.84674,0.91751,0.71278,0.7653,1.37724,1.16105,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,298.309,0.83201,1.6575,1.21331,0.93506,0.86574,0.92513,0.73247,0.73951,1.33887,1.14559,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,322.802,0.81454,1.59917,1.21062,0.93043,0.85528,0.93931,0.74662,0.69832,1.23822,1.11892,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,347.528,0.80216,1.52401,1.18778,0.94329,0.87825,0.93802,0.75693,0.68382,1.15912,1.09246,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,372.099,0.76151,1.41863,1.15939,0.94379,0.8821,0.94689,0.76743,0.67255,1.09978,1.08547,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,397.087,0.76928,1.3736,1.16364,0.96426,0.91324,0.96105,0.79144,0.64176,0.99195,1.05262,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,422.017,0.73614,1.34218,1.1507,0.9495,0.90575,0.95991,0.79108,0.62632,0.9649,1.04132,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,446.961,0.76767,1.36184,1.17784,0.95946,0.896,0.95978,0.78705,0.63742,0.93567,1.04448,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,472.591,0.74013,1.26666,1.15317,0.9586,0.91957,0.96416,0.78501,0.64376,0.87148,1.06507,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,498.707,0.75854,1.27995,1.16091,0.96527,0.93217,0.96913,0.79589,0.6339,0.83297,1.04929,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,523.34,0.74831,1.258,1.15408,0.9408,0.93981,0.96171,0.80057,0.61813,0.81875,1.04596,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
