epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.94835,1.14632,3.38698,1.60838,0.00279,0.83687,0.08665,0.03494,1.23828,3.24622,1.84915,0.00102888,0.00034296,0.00102888,0.00034296,0.00102888,0.00034296,0.00102888,0.00034296
2,14.1419,1.08938,3.31442,1.55703,0.00281,0.84074,0.12506,0.05988,1.06447,3.18723,1.67023,0.00205904,0.000686346,0.00205904,0.000686346,0.00205904,0.000686346,0.00205904,0.000686346
3,18.3191,0.99074,3.23779,1.46502,0.00282,0.84074,0.18078,0.10272,0.9577,3.12686,1.55119,0.00304675,0.00101558,0.00304675,0.00101558,0.00304675,0.00101558,0.00304675,0.00101558
4,22.7919,0.96061,3.12726,1.41858,0.15352,0.30902,0.29406,0.2078,0.89796,2.92641,1.46386,0.00399203,0.00133068,0.00399203,0.00133068,0.00399203,0.00133068,0.00399203,0.00133068
5,26.76,0.83669,2.85945,1.34296,0.90234,0.25456,0.34629,0.25896,0.88969,2.53815,1.43521,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,30.9603,0.95647,2.84748,1.37923,0.93849,0.25316,0.36384,0.27656,0.88336,2.43982,1.41512,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,35.0182,0.93601,2.63182,1.37642,0.92734,0.26582,0.39522,0.30471,0.85183,2.56465,1.37823,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,39.1094,0.87054,2.5176,1.30978,0.25656,0.50155,0.40977,0.31927,0.82192,2.32029,1.34476,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,43.0131,0.90471,2.40997,1.32421,0.30256,0.52555,0.43372,0.34783,0.80708,2.12831,1.32905,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,47.1476,0.81049,2.25388,1.26427,0.37247,0.54176,0.4835,0.3864,0.80431,2.06599,1.31078,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,51.6476,0.83568,2.19175,1.26248,0.489,0.66168,0.5683,0.45324,0.79077,1.92873,1.28644,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,55.7138,0.88472,2.14317,1.29401,0.55536,0.69,0.6516,0.51682,0.77518,1.80275,1.27956,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,59.9205,0.82956,2.02535,1.22168,0.75269,0.66821,0.75469,0.58814,0.77577,1.67307,1.27978,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,64.0467,0.79312,1.78974,1.19836,0.86764,0.6476,0.78011,0.6126,0.75179,1.57288,1.25339,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,68.1038,0.8287,1.84839,1.24305,0.78305,0.70718,0.79321,0.62272,0.7296,1.52849,1.23207,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,72.141,0.80283,1.73248,1.23134,0.80179,0.74324,0.82937,0.65574,0.69806,1.42578,1.20233,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,76.1319,0.77984,1.70816,1.22719,0.91706,0.70973,0.86534,0.6855,0.681,1.3636,1.18307,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
