web-scraper-order,web-scraper-start-url,movie_links,movie_links-href,rating,director_0-1,director_0-2,director_0-3,writers_0-1,writers_0-2,writers_0-3,stars_0-1,stars_0-2,stars_0-3,stars_1-1,stars_1-2,stars_1-3,writers_1-1,writers_1-2,writers_1-3,director_1-1,director_1-2,director_1-3
"1762884594-1","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Lost Ladies","https://www.imdb.com/title/tt21626284/?ref_=chttp_t_250","8.3","Kiran Rao","","","Biplab Goswami","Sneha Desai","Divy Nidhi Sharma","Nitanshi Goel","Pratibha Ranta","Sparsh Shrivastava","","","","","","","","",""
"1762884596-2","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Drishyam","https://www.imdb.com/title/tt4430212/?ref_=chttp_t_249","8.2","Nishikant Kamat","","","Jeethu Joseph","Upendra Sidhaye","","Ajay Devgn","Shriya Saran","Tabu","","","","","","","","",""
"1762884600-3","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Gangs of Wasseypur","https://www.imdb.com/title/tt1954470/?ref_=chttp_t_248","8.2","Anurag Kashyap","","","Akhilesh Jaiswal","Anurag Kashyap","Sachin K. Ladia","Manoj Bajpayee","Nawazuddin Siddiqui","Tigmanshu Dhulia","","","","","","","","",""
"1762884604-4","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","To Be or Not to Be","https://www.imdb.com/title/tt0035446/?ref_=chttp_t_247","8.1","","","","","","","","","","Carole Lombard","Jack Benny","Robert Stack","Melchior Lengyel","Edwin Justus Mayer","Ernst Lubitsch","Ernst Lubitsch","",""
"1762884608-5","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","https://www.imdb.com/title/tt11032374/?ref_=chttp_t_246","8.2","Haruo Sotozaki","","","Koyoharu Gotouge","","","Natsuki Hanae","Akari Kitô","Hiro Shimono","","","","","","","","",""
"1762884612-6","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Grapes of Wrath","https://www.imdb.com/title/tt0032551/?ref_=chttp_t_245","8.1","John Ford","","","Nunnally Johnson","John Steinbeck","","Henry Fonda","Jane Darwell","John Carradine","","","","","","","","",""
"1762884618-7","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Network","https://www.imdb.com/title/tt0074958/?ref_=chttp_t_244","8.1","Sidney Lumet","","","Paddy Chayefsky","","","Faye Dunaway","William Holden","Peter Finch","","","","","","","","",""
"1762884621-8","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Battle of Algiers","https://www.imdb.com/title/tt0058946/?ref_=chttp_t_243","8.1","Gillo Pontecorvo","","","Franco Solinas","Gillo Pontecorvo","","Brahim Hadjadj","Jean Martin","Yacef Saadi","","","","","","","","",""
"1762884626-9","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Handmaiden","https://www.imdb.com/title/tt4016934/?ref_=chttp_t_242","8.1","Park Chan-wook","","","Chung Seo-kyung","Sarah Waters","Park Chan-wook","Kim Tae-ri","Lee Yong-nyeo","Yoo Min-chae","","","","","","","","",""
"1762884630-10","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","My Father and My Son","https://www.imdb.com/title/tt0476735/?ref_=chttp_t_241","8.2","","","","","","","","","","Çetin Tekindor","Fikret Kuskan","Hümeyra","Çagan Irmak","","","Çagan Irmak","",""
"1762884634-11","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Passion of Joan of Arc","https://www.imdb.com/title/tt0019254/?ref_=chttp_t_240","8.1","Carl Theodor Dreyer","","","Joseph Delteil","Carl Theodor Dreyer","","Maria Falconetti","Eugene Silvain","André Berley","","","","","","","","",""
"1762884638-12","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Iron Giant","https://www.imdb.com/title/tt0129167/?ref_=chttp_t_239","8.1","Brad Bird","","","Tim McCanlies","Brad Bird","Ted Hughes","Jennifer Aniston","Harry Connick Jr.","Vin Diesel","","","","","","","","",""
"1762884640-13","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Stand by Me","https://www.imdb.com/title/tt0092005/?ref_=chttp_t_238","8.1","Rob Reiner","","","Stephen King","Raynold Gideon","Bruce A. Evans","Wil Wheaton","River Phoenix","Corey Feldman","","","","","","","","",""
"1762884643-14","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","The Wizard of Oz","https://www.imdb.com/title/tt0032138/?ref_=chttp_t_237","8.1","Victor Fleming","George Cukor","Norman Taurog","Noel Langley","Florence Ryerson","Edgar Allan Woolf","Judy Garland","Frank Morgan","Ray Bolger","","","","","","","","",""
"1762884646-15","https://www.imdb.com/chart/top/?ref_=hm_nv_menu","Rush","https://www.imdb.com/title/tt1979320/?ref_=chttp_t_236","8.1","Ron Howard","","","Peter Morgan","","","Chris Hemsworth","Daniel Brühl","Olivia Wilde","","","","","","","","",""
