web-scraper-order,web-scraper-start-url,place,place-href,karwei_name,karwei_addres,karwei_city
"1762859293-1","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Zwolle","https://www.karwei.nl/vestigingen/zwolle","KARWEI Zwolle","G. Stephensonstraat 6","ZWOLLE"
"1762859296-2","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Zutphen","https://www.karwei.nl/vestigingen/zutphen","KARWEI Zutphen","De Stoven 47","ZUTPHEN"
"1762859298-3","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Zevenaar","https://www.karwei.nl/vestigingen/zevenaar","KARWEI Zevenaar","Edisonstraat 20/a","ZEVENAAR"
"1762859300-4","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Zaandam","https://www.karwei.nl/vestigingen/zaandam","KARWEI Zaandam","Stormhoek 21/A","ZAANDAM"
"1762859302-5","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Wolvega","https://www.karwei.nl/vestigingen/wolvega","KARWEI Wolvega","Jachtwerfstraat 3","WOLVEGA"
"1762859304-6","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Wijk bij Duurstede","https://www.karwei.nl/vestigingen/wijk-bij-duurstede","KARWEI Wijk bij Duurstede","Hoge Maat 6/a","WIJK BIJ DUURSTEDE"
"1762859307-7","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Westland-De Lier","https://www.karwei.nl/vestigingen/westland-de-lier","KARWEI Westland-De Lier","Leehove 7","DE LIER"
"1762859309-8","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Weesp","https://www.karwei.nl/vestigingen/weesp","KARWEI Weesp","Nijverheidslaan 1/B","WEESP"
"1762859311-9","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Waalwijk","https://www.karwei.nl/vestigingen/waalwijk","KARWEI Waalwijk","Prof. Zeemanweg 14","WAALWIJK"
"1762859313-10","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Vught","https://www.karwei.nl/vestigingen/vught","KARWEI Vught","De Schakel 2","VUGHT"
