epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.38044,1.48833,3.64737,1.72162,0.0026,0.79762,0.07164,0.03264,1.17682,3.29534,1.7492,0.00051444,0.00017148,0.00051444,0.00017148,0.00051444,0.00017148,0.00051444,0.00017148
2,9.27822,1.24235,3.45778,1.58822,0.00256,0.78968,0.09808,0.04964,1.10522,3.26777,1.68033,0.00105053,0.000350176,0.00105053,0.000350176,0.00105053,0.000350176,0.00105053,0.000350176
3,11.7224,1.36901,3.45315,1.69674,0.00263,0.80556,0.10296,0.0553,1.0811,3.26073,1.64224,0.00156455,0.000521516,0.00156455,0.000521516,0.00156455,0.000521516,0.00156455,0.000521516
4,14.2389,1.26484,3.48224,1.63375,0.00263,0.80556,0.1241,0.06164,1.02133,3.24355,1.58428,0.0020565,0.0006855,0.0020565,0.0006855,0.0020565,0.0006855,0.0020565,0.0006855
5,16.6565,1.20258,3.41676,1.54411,0.00267,0.81349,0.14312,0.08153,0.95567,3.21888,1.52128,0.00252638,0.000842127,0.00252638,0.000842127,0.00252638,0.000842127,0.00252638,0.000842127
6,18.8784,1.05735,3.40023,1.43108,0.00268,0.81349,0.19045,0.1098,0.92003,3.19097,1.48298,0.00297419,0.000991397,0.00297419,0.000991397,0.00297419,0.000991397,0.00297419,0.000991397
7,21.3103,0.96555,3.26235,1.39626,0.00276,0.83532,0.22879,0.1376,0.90723,3.13769,1.44637,0.00339993,0.00113331,0.00339993,0.00113331,0.00339993,0.00113331,0.00339993,0.00113331
8,23.6573,1.01469,3.29811,1.38679,0.00277,0.82937,0.2741,0.17433,0.87522,3.0981,1.41801,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,26.0486,0.9104,3.12425,1.35547,0.87547,0.13889,0.31202,0.21297,0.87617,2.96236,1.41118,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,28.3452,0.98051,3.05936,1.37128,0.85634,0.21296,0.32736,0.22758,0.87934,2.88492,1.40999,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,30.715,0.93713,3.01982,1.36675,0.65642,0.3287,0.36538,0.25578,0.89922,2.77108,1.39809,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,33.118,0.89982,2.83674,1.3398,0.50748,0.38426,0.39633,0.27867,0.85741,2.70342,1.36323,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,35.3634,0.88301,2.75491,1.28279,0.32233,0.45302,0.38872,0.27623,0.84048,2.77684,1.35333,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,37.8236,0.90039,2.78022,1.28847,0.31931,0.50331,0.40383,0.30168,0.81641,2.94332,1.32906,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,40.1661,0.91646,2.85176,1.30055,0.33254,0.53289,0.44171,0.32761,0.8123,2.89118,1.32945,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,42.5775,0.91995,2.68896,1.31427,0.27004,0.5172,0.45066,0.34041,0.7989,2.77482,1.31086,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,45.0589,0.92091,2.67833,1.29632,0.30229,0.60251,0.46034,0.34423,0.7732,2.63208,1.28707,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,47.3808,0.89248,2.58776,1.30743,0.28494,0.53035,0.47179,0.35144,0.7615,2.56257,1.26845,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,49.5968,0.87162,2.54859,1.24711,0.36243,0.47496,0.46141,0.33905,0.7523,2.4207,1.25401,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,51.9288,0.87677,2.47416,1.23933,0.32586,0.53968,0.48528,0.34637,0.7568,2.32923,1.25351,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,54.2421,0.88946,2.40564,1.22294,0.36563,0.46032,0.49592,0.35208,0.75265,2.29544,1.25098,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,56.4692,0.95951,2.54192,1.25821,0.39496,0.59127,0.53086,0.3839,0.7508,2.24565,1.24104,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,58.7173,0.83332,2.33276,1.19428,0.44918,0.60171,0.58352,0.42433,0.737,2.16938,1.23554,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,60.8615,0.83458,2.39028,1.26464,0.47923,0.63816,0.62429,0.45429,0.7297,2.10567,1.22686,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,63.3285,0.86832,2.23102,1.22195,0.60378,0.65153,0.68968,0.50891,0.72678,1.98159,1.22457,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,65.5033,0.82838,2.28937,1.21419,0.64659,0.64376,0.70597,0.52353,0.71861,1.94069,1.21904,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,68.0282,0.84646,2.17815,1.21469,0.6712,0.67426,0.74388,0.55724,0.70396,1.87088,1.20579,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,70.8024,0.81804,2.13624,1.18884,0.68855,0.72959,0.76755,0.57014,0.68954,1.80818,1.19331,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,73.1807,0.8434,2.1248,1.21293,0.67661,0.72633,0.77363,0.57596,0.68974,1.7793,1.18721,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,75.5653,0.88309,2.24836,1.22077,0.75762,0.67758,0.78968,0.58404,0.66626,1.7251,1.17865,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,77.9898,0.83507,2.09139,1.20114,0.72359,0.74766,0.80072,0.602,0.66081,1.68827,1.16832,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,80.0579,0.82132,2.23143,1.19236,0.72486,0.74196,0.81205,0.61649,0.64867,1.65943,1.16103,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,82.1878,0.77783,2.13273,1.20998,0.76509,0.75177,0.82515,0.63119,0.64255,1.62857,1.15589,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,84.3745,0.81503,1.99915,1.19727,0.76794,0.76478,0.83403,0.63901,0.63865,1.61081,1.15026,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,86.6627,0.81205,1.98734,1.20795,0.8049,0.77116,0.86221,0.6661,0.64028,1.56489,1.15254,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,89.0202,0.73743,1.85292,1.16866,0.86409,0.77116,0.87565,0.67636,0.65202,1.5247,1.15749,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,91.1239,0.77966,2.01333,1.19903,0.85374,0.77116,0.88233,0.68533,0.65533,1.49958,1.15952,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,93.4251,0.78795,1.84308,1.19531,0.83846,0.7864,0.89095,0.69277,0.65262,1.48082,1.15593,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,95.7322,0.72288,1.96463,1.16042,0.87895,0.78427,0.90181,0.70521,0.63762,1.47156,1.14895,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,97.7915,0.75635,1.91658,1.15937,0.88176,0.78704,0.90745,0.71517,0.63458,1.45859,1.14772,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,101.065,0.77146,2.76213,1.14758,0.86001,0.8227,0.90687,0.7115,0.63123,1.47872,1.14335,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,103.332,0.84623,2.75456,1.26398,0.84196,0.7965,0.88864,0.70448,0.63727,1.55593,1.14797,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
